"""2023-11-19T07:56:36.922231+0200 "	 1:2013504:6 	 ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management 	 Not Suspicious Traffic 	" 000.000.000.185:40440 -> 151.101.246.132:80"""
"""2023-11-19T07:56:36.957413+0200 "	 1:2013504:6 	 ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management 	 Not Suspicious Traffic 	" 000.000.000.185:40440 -> 151.101.246.132:80"""
"""2023-11-19T07:56:37.027561+0200 "	 1:2013504:6 	 ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management 	 Not Suspicious Traffic 	" 000.000.000.185:40440 -> 151.101.246.132:80"""
"""2023-11-19T07:56:37.430138+0200 "	 1:2013504:6 	 ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management 	 Not Suspicious Traffic 	" 000.000.000.185:60294 -> 176.126.240.86:80"""
"""2023-11-19T14:56:39.765459+0200 "	 1:2013504:6 	 ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management 	 Not Suspicious Traffic 	" 000.000.000.185:33616 -> 151.101.246.132:80"""
"""2023-11-19T14:56:39.795323+0200 "	 1:2013504:6 	 ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management 	 Not Suspicious Traffic 	" 000.000.000.185:33616 -> 151.101.246.132:80"""
"""2023-11-19T14:56:39.858373+0200 "	 1:2013504:6 	 ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management 	 Not Suspicious Traffic 	" 000.000.000.185:33616 -> 151.101.246.132:80"""
"""2023-11-19T14:56:40.354395+0200 "	 1:2013504:6 	 ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management 	 Not Suspicious Traffic 	" 000.000.000.185:60106 -> 93.93.130.212:80"""
"""2023-11-19T16:58:29.067007+0200 "	 1:2260002:1 	 SURICATA Applayer Detect protocol only one direction 	 Generic Protocol Command Decode 	" 000.000.000.162:63572 -> 000.000.000.185:139"""
"""2023-11-19T16:58:31.362527+0200 "	 1:2260002:1 	 SURICATA Applayer Detect protocol only one direction 	 Generic Protocol Command Decode 	" 000.000.000.162:63575 -> 000.000.000.185:139"""
"""2023-11-19T17:22:33.753844+0200 "	 1:2200075:2 	 SURICATA UDPv4 invalid checksum 	 Generic Protocol Command Decode 	" 000.000.000.235:59730 -> 255.255.255.255:6667"""
"""2023-11-19T17:51:50.592566+0200 "	 1:2260002:1 	 SURICATA Applayer Detect protocol only one direction 	 Generic Protocol Command Decode 	" 000.000.000.162:64372 -> 000.000.000.185:139"""
"""2023-11-19T17:51:52.936161+0200 "	 1:2260002:1 	 SURICATA Applayer Detect protocol only one direction 	 Generic Protocol Command Decode 	" 000.000.000.162:64375 -> 000.000.000.185:139"""
"""2023-11-19T18:10:44.145614+0200 "	 1:2260002:1 	 SURICATA Applayer Detect protocol only one direction 	 Generic Protocol Command Decode 	" 000.000.000.162:64632 -> 000.000.000.185:139"""
"""2023-11-19T18:10:46.530662+0200 "	 1:2260002:1 	 SURICATA Applayer Detect protocol only one direction 	 Generic Protocol Command Decode 	" 000.000.000.162:64633 -> 000.000.000.185:139"""
"""2023-11-21T16:32:15.187976+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.283874+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.372612+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53846 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.217430+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.325925+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53840 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.271588+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.287550+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.322352+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.359509+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.364573+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.370687+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53845 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:15.605380+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:32:16.698729+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53840 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:05.671943+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:05.671951+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:05.682614+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53840 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:05.684654+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53845 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:05.702138+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:05.703043+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:05.943843+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:07.005023+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53846 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:08.118988+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53846 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:08.120712+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:08.135459+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53840 -> 000.000.000.185:9000"""
